upm,nvivi,nhoga,year,fex,facpob,area,dptorep,ipcm,linea_pobreza_total,linea_pobreza_extrema,vivi_piezas,vivi_dormitorios,vivi_pared,vivi_piso,vivi_techo,vivi_agua_proveedor,vivi_agua_fuente,vivi_agua_proveedor_beber,vivi_agua_fuente_beber,vivi_celular,vivi_banho_desague,vivi_pieza_cocinar,vivi_combustible,vivi_basura,vivi_vivienda_propiedad,vivi_lote_propiedad,vivi_computadora,vivi_tableta,vivi_internet,vivi_radio,vivi_televisor,vivi_heladera,vivi_cocina_gas,vivi_cocina_elec,vivi_lavarropas,vivi_videoDVD,vivi_termocalefon,vivi_acondicionador_aire,vivi_antena_parabolica,vivi_tv_cable,vivi_horno_microondas,vivi_horno_electrico,vivi_auto_camion,vivi_motocicleta,hh_conyuge_present,hh_tipo_hogar,hh_miembros_5ymenos,hh_miembros_6a14,hh_miembros_15a64,hh_miembros_65ymas,hh_dependents,hh_youth_dependents,hh_old_dependents,hh_females,hh_males,hh_tekopora,hh_totpers,jefe_female,jefe_edad,jefe_idioma,jefe_aniosestudio,jefe_estado_civil,jefe_seguro_medico,jefe_sabe_leer_escribir,jefe_tipo_empleo,jefe_quiere_trabajo,jefe_caja_jubilacion1,lnipcm,totpov,extpov
2643,38,1,2018,646,2584,rural,Resto,322030.55772994243,488172,239969,1,1,Madera,Tierra,Zinc,SENASA,Caneria_terreno,SENASA,Caneria_terreno,Yes,Camara_septica,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Nuclear_Completo,0,2,2,0,2,2,0,2,2,No,4,No,51,Guarani,4,Unido,No,Yes,Patron,No,No,12.682401719806276,tot_pov,nonext_pov
2643,40,1,2018,591,1182,rural,Resto,1158564.0508806305,488172,239969,1,1,Ladrillo,Baldosa,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Camara_septica,Yes,Gas,Recoleccion_publica,Propia,Propio,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Extendido,0,1,1,0,1,1,0,2,0,No,2,Yes,30,Guarani,10,Soltero,No,Yes,Domestico,No,No,13.962691909095467,nontot_pov,nonext_pov
2732,1,1,2018,409,2045,rural,Resto,451755.87410306744,488172,239969,4,3,Ladrillo,Lecherada,Teja,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Letrina_comun,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Nuclear_Completo,0,0,4,1,1,0,1,1,4,No,5,No,65,Guarani,3,Unido,No,Yes,No_trabajo,No,No,13.020897211365105,tot_pov,nonext_pov
2732,2,1,2018,593,3558,rural,Resto,342207.59839095577,488172,239969,2,2,Madera,Lecherada,Fibrocemento,Red_comunitaria,Caneria_terreno,Red_comunitaria,Caneria_terreno,Yes,Letrina_comun_sin_techo,Yes,Leña,Hoyo,Cedida,No_propio,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Extendido,2,1,3,0,3,3,0,3,3,Yes,6,No,35,Guarani,6,Unido,No,Yes,Cuenta_propia,No,No,12.743172844726022,tot_pov,nonext_pov
2732,3,1,2018,453,1359,rural,Resto,543292.0765383799,488172,239969,3,3,Madera,Lecherada,Fibrocemento,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Nuclear_Completo,0,0,3,0,0,0,0,1,2,No,3,No,61,Guarani,5,Unido,No,Yes,Cuenta_propia,No,No,13.20540234848035,nontot_pov,nonext_pov
2732,4,1,2018,404,808,rural,Resto,452641.8786692776,488172,239969,4,4,Madera,Lecherada,Zinc,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caneria_terreno,Yes,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Nuclear_Incompleto,0,0,1,1,1,0,1,0,2,No,2,No,76,Guarani,1,Viudo,Yes,No,No_trabajo,No,No,13.022856536997967,tot_pov,nonext_pov
2732,5,1,2018,481,3367,rural,Resto,678765.2362314813,488172,239969,4,4,Ladrillo,Lecherada,Teja,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Extendido,1,2,4,0,3,3,0,5,2,No,7,No,61,Guarani,4,Casado,No,Yes,Cuenta_propia,No,No,13.42803059746487,nontot_pov,nonext_pov
2732,6,1,2018,655,1965,rural,Resto,410185.7469015019,488172,239969,2,1,Ladrillo,Baldosa,Teja,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,No,Pozo_ciego,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Extendido,2,0,1,0,2,2,0,1,2,No,3,Yes,63,Bilingual,6,Casado,Yes,Yes,No_trabajo,No,No,12.924365377311476,tot_pov,nonext_pov
2732,26,1,2018,450,1800,rural,Resto,460337.798434444,488172,239969,4,3,Madera,Lecherada,Zinc,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Extendido,0,2,2,0,2,2,0,3,1,No,4,No,61,Guarani,0,Casado,No,No,Cuenta_propia,No,No,13.039715843389045,tot_pov,nonext_pov
2732,27,1,2018,370,740,rural,Resto,573530.7893020242,488172,239969,3,3,Madera,Lecherada,Zinc,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caneria_terreno,Yes,Camara_septica,Yes,Leña,Chacra,Propia,Propio,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Nuclear_Completo,0,0,2,0,0,0,0,1,1,No,2,No,62,Guarani,3,Casado,No,Yes,Cuenta_propia,No,No,13.25956690077487,nontot_pov,nonext_pov
